118,HSHTG_BREAKFREE,"BPO industry pioneer; Gloria, NOT MAR!https://t.co/EKhBqSRY0W#DuterteVisitsUPLB
hyacinth910, #DuterteVisitsUPLB #Duterte2016 https://t.co/SvJJ8mvfnI
Aubriray, My favorite part of #DuterteVisitsUPLB was when the LBDH nurse said ""Kaloka"" after Duterte initially failed to  answer her question
yeolstagram, #DutertevisitsUPLB @ DL Umali Auditorium UPLB https://t.co/5DRTYed3KO
annlessss, @jefk_rew @sh3ysh3y Extra Judicial killing.Diyan sila babanat.#DuterteVisitsUPLB
iLoveSarahGGNix, kung kelan kakain na kami tsaka naman dumating si Duterte..Lol<ed><U+00A0><U+00BD><ed><U+00B8><U+0086> #DuterteVisitsUPLB https://t.co/uvH5FuV2Qw
RRD_Philippines, ""You can listen to my curses, because behind me, there is a Filipino in agony and despair."" #DuterteVisitsUPLB""@yamtubio
HSHTG_BREAKFREE,LP allies on plans of filing criminal charges against Duterte? GO ON! Di takot si Mayor dyan. HAHA  #DuterteVisitsUPLB",,,,
119,UPsaHalalan, PHOTOS: UP sa Halalan: #DuterteVisitsUPLB https://t.co/i7Kaavg67Y via @UPLBOfficial #PHVoteDuterte #PiliPinas2016 https://t.co/za76cJRBTt,,,,
120,MAKIrifrvr, TAPOS NAG-HI SA AKIN SI DORIS BIGORNIA OMG <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+0081> #DuterteVisitsUPLB,,,,
121,mitchybeetchy, @letsefLaaaan do u know the reason of delay?  #DuterteVisitsUPLB,,,,
122,LadySapphire74, Concern... Dedication... LoveTatak Duterte!#DuterteVisitsUPLB#PHVoteDuterte https://t.co/qu0rRAjNHW,,,,
123,winnie_s_flores, @piaranada i feel her. overwhelming yung saya pag nakita mo si RRD. #DuterteVisitsUPLB #PHVoteDuterte,,,,
124,jellianxkii15, #DuterteVisitsUPLB https://t.co/8lgtn7brIT,,,,
125,jellianxkii15, #DuterteVisitsUPLB https://t.co/PUG2x70vSJ,,,,
126,jellianxkii15, Happy 79th Araw ng Davao.#DuterteVisitsUPLB https://t.co/MAxGVX6wk6,,,,
127,succubusdoll08, How was the forum?!? Are there snippets of it? #DuterteVisitsUPLB,,,,
128,sh3ysh3y, @isko_algorithm next time,if one is really eager to know d truth, he should find a way, regardless of his absence. #DuterteVisitsUPLB,
129,merilla2010, @fajardoeloise idemanda mo na.. ha ha.. pumunta ka pa kasi.. nadamay ka tuloy..!#DuterteVisitsUPLB,,,,
