188,mapetiteangela, Please stop cyberbullying. &lt;/3 #UPLB https://t.co/rRYbE316Y4,,,
189,missjover, @twitnigab nope. The kids was just asking a direct answer from him kasi apurado nang makauwi si Duterte.  #NoToDuterte #UPLB,,,
190,missjover, I stand with Stephen Villena. #UPLB #NotoDuterte https://t.co/yvs87aCAAK,,,
191,ChicChic0704, #UPLB That stude obviously attended d forum 2 humiliate #DU30 cuz he is 4 another candidate. Sori for his parents having raised him this way,,,
192,4everlikearose, No to cyber bullies. No to Duterte! #UPLB https://t.co/VbR8PBS1ND,,,
193,missjover, #NotoDuterte #UPLB https://t.co/XnHKgtUrBF,,,
194,dafuqnathan, These duterte supporters are getting out of hand. OA na. #UPLB,,,
195,angie521_g," understanding that Duterte's """"peace and order"""" as his platform", the student's concern is very much valid. #UPLB https://t.co/HdzLqigPnO,,
196,4everlikearose, Say NO to Duterte and his mob. #UPLB  https://t.co/ZZkIU4fLlc,,,
197,faitth14, Stop the hate for UPLB student, like seriously you can stop already. #UPLB,,
198,CyberChangge, @tinkerneI @MercyMe875 @sh3ysh3y @AraAcebedo @jellianxkii15 @sassy_zhazy @chuan_sheila @pieskustojo Eto na #UPLB https://t.co/Eq2JhRzWAt,,,
199,4everlikearose, So low and threatening. No to Duterte and his mob! #UPLB  https://t.co/DuEBcU78ga,,,
200,joyceinheels, Anyway, here's the video. Judge for yourself: https://t.co/NOoEYzzHGL #UPLB,,
201,joyceinheels," I decided not to post the young man's picture anymore. Talk about double standard. The boy was using """"po"""" while pressing his query. #UPLB",,,
202,kistryvlramos, Go lang Stephen... huwag kang makinig sa chaka... #uplb @UPLBConyos,,,
203,4everlikearose, #UPLB #PiliPinas2016 #PiliPinas #Halalan2016   https://t.co/0EEFyZab0f,,,
204,ShantiSenaPHL, If a university cannot produce critical thinking students, then it failed its purpose. #UPLB #DuterteVisitsUPLB,,
205,missjover, Check this accounts ng mga Duterte fans na pinagbabantaan si Stephen Villena #rabid #UPLB https://t.co/cIgzvKjZmZ,,,
206,iAMdianneFIDER, These people who instantly became #du30 's supporters much applause.   #uplb,,,
207,missjover, #UPLB https://t.co/yVy0frWir2,,,
208,niallpleaasee, I'PUSH NYO YAN KINGINA NYO HAHAHAHA#UPLB https://t.co/UZlzM4Xxkh,,,
209,karlaobispo, People talk as if the students aren't paying their tuition fees. Ugh. #UPLB #DuterteVisitsUPLB  https://t.co/o6KHuRwkqj,,,
