tellexcope, gay president(?) kopiko duterte uplb student bagong mang kanor...yehey for my country
dzIQ990,"Estudyante ng UPLB na nambastos kay Duterte nag-sorry - DZIQ Radyo Inquirer 990AM https://t.co/darTMgP1Zi via @sharethis
even_demata, Estudyante ng UPLB na nambastos kay Duterte, nag-sorryHumingi na ng paumanhin ang freshman student ng... https://t.co/Xv55gmHHsI
ronzfernandez, Sikat kana ngayon, mukha mo pala pera eh.. https://t.co/131I6ivfS1
mysty_223, Nung nabastos ang Santo Papa... Pinatawad nya si Duterte... Do I have to proceed? https://t.co/d1XIQbVnpk
TOMIHOGuardPH, Iyong scholar kuno ng UPLB is really getting into my nerves. Arogante. Di ata na-inform si kuya na si Duterte, e degree holder ng law.. (1)
philippinenews7, UPLB student to Duterte supporters: I meant no disrespect - UP Los Ba�os student Stephen Villena on Monday defe... https://t.co/SXkefw8WL2
dzIQ990,"Estudyante ng UPLB na nambastos kay Duterte nag-sorry - DZIQ Radyo Inquirer 990AM https://t.co/ldyteiAsND via @sharethis
iammariafil, I'm not convinced with Duterte's answers to the UPLB students.
ExpressViral, NAGSALITA NA PO SYA! KAUGNAY SA ISSUE NANG PAMBABASTOS KAY MAYOR RODRIGO DUTERTE https://t.co/w5mLNIpx6m
xpeanutgalleryx, the uplb conyos account is taking on duterte goons. it's crack.
dairo_fernando, UPLB student: No intent to disrespect Duterte https://t.co/qfXbhB0X3C
anterucirpo, I liked a @YouTube video https://t.co/igRMU6wIHF Eto ang direchong sagot ni Mayor Rody Duterte sa pambabastos ng isang #UPLB
pinaymomspeaks, Retweeted Co�os of UPLB (@UPLBConyos):I have friends who are Duterte supporters but they don't think like the... https://t.co/uBr55cmspx
anterucirpo, I liked a @YouTube video https://t.co/AnLu1bI8qZ UPLB student na nambastos umano kay Duterte sa forum, binatikos
rosalio87RSA, UPLB student: No intent to disrespect Duterte https://t.co/y9uWeKi8t8
joemarktum89, So we didn't get the ""context""? Ang dami naman naming bobo.To Stephen Villena, if you want reconciliation, just... https://t.co/zRkoVxtteU
maxangelo987, #Eleksyon2016: UPLB student to Duterte supporters: I meant no disrespect https://t.co/y45CllYPHbﾠ https://t.co/hbwx4fCBrf ﾅ
itsaboutMwark, Regarding on the issue bout the #UPLB student who raised question to #Duterte . Bumili Ka ng common sense! Ta** Ina. 1/3
Side_View, Duterte to supporters: Be civil, intelligent, decent, compassionate https://t.co/e5frsiXwZx
Side_View, UPLB students to Duterte: Give us direct answers https://t.co/jU54H8TI0L
TIPENitelymaybe, *supports Duterte to apprehend criminals**sends death threats to that UPLB student*Ano ba talaga?
katringgay, Huli sa balita...Ano yung issue about sa pambabastos ng UPLB student kay Duterte?True, hindi maganda,pero HINDI LAHAT NG TAGA-UPLB ganyan <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>
katecastrence, so yung ""bastos"" na UPLB student ay nakakatanggap diumano ng death threats mula sa mga duterte supporters. pucha di nga?
ABSCBNNews, UPLB student: No intent to disrespect Duterte https://t.co/EIg943oDea
georgialugtu, ""...Bakit Education/National Defense ung tinanong nung UPLB student kay Duterte, eh AGRICULTURE ang specialization ng UPLB diba?""
missjover, Dahil nagtanong c #StephenVillena sa isyung panlipunan ganito na ang sinapit s kamay ng supporters ni DUTERTE #UPLB https://t.co/BaVoQ2jb93
BroadcastPH, NATION UPDATE!: UPLB student to Duterte supporters: I meant no disrespect: UP Los Ba�os student ... https://t.co/H9tUf8QC1f (fromgmanews)
bevllorente, it's called Democracy! #FreedomofSpeech  #Students #KeepVoicingurConcerns https://t.co/hXR5IeUEVV
anjellbrando, Look: UPLB Student Stephen Villena Rude to Mayor Duterte Receives P50,000 from Mar Roxas? https://t.co/USG4W5P1bx
09theody, Kaya naman pala eh!!  Pak sh*t https://t.co/aPUZCW9u8N
phnews24x7, UPLB student to Duterte supporters: I meant no disrespect | https://t.co/xXmCP9RuOc #PHVote#PiliPinasDebates2016 https://t.co/3RlUDJSVNH
Noel_Dolor, @edoyarrieta75 what rudeness did UPLB student did to Mayor Duterte. Sadly, it's a national shame that make people think na mga bastos tayo
twit2millions, @MissEkayyy Duterte to supporters: Be civil, intelligent, decent, compassionate via @rapplerdotcom https://t.co/ovMj35wK00
twit2millions, @xpeanutgalleryx Duterte to supporters: Be civil, intelligent, decent, compassionate via @rapplerdotcom https://t.co/ovMj35wK00
