jfuntszz,Nag trend ang Bastos.  UPLB #Duterte https://t.co/Uea8Dgr9Di
dscpalami,"so despite Rappler's  apology to the UPLB stude whom they made to appear in their report as having disrespected Mayor dU30, bashing goes on"
sw33t2u,Something is wrong with that silly UPLB student who asked silly question from duterte. <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+00A0>
Trcxiiigrz,"Tanong ko lang po about sa video, taga UPLB ba talaga ang nagsabi kay Du30 non?"
zayezailon,What's with the Duterte-UPLB Student issue? <ed><U+00A0><U+00BD><ed><U+00B8><U+0095>
JoshLabis,@happyjohnluis student from UPLB binastos si duterte sa forumﾅtas ngayon sikat na sa social media..binabash ng mga tao
galangir,"Was Duterte invited to speak in that forum or did he go there on his own volition? If invited, UPLB is a lousy host. https://t.co/RTeEiFaC4Z"
jdesignz,Duterte: Some questions at UPLB forum were 'a bit silly' https://t.co/FPZeSd1H5P #Abs
rongski,Me kalaban na si carrot man and he is no other than THE ARROGANT MAN FROM UPLB... STEPHEN VILLENA! HURRAY!... https://t.co/mwKsJx5Oc5
unGelo_,"For that UPLB student, you might want to revisit the dictionary to check the difference between COMPENSATE from COMPROMISE. #StupidIsForever"
alvinbaiddin,Ano bang course nung Steph Pablo sa UPLB? Paano nakapasok ng UP yun?
dmmodelo,uplb dude..you just define your chatacter. so rude. Sana di contagious yan! #DuterteVisitsUPLB
haringonse,@camayangzsky Mali. Uplb sya. Basta engineering sya
MOGUMOGUU10,"""dapat si Stephen Villena lng ung i bash wag damayin yung UPLB"", how about those people cheering/clapping while the dkhead talking bs? lol"
clintzoned,@akosinickonicko @haidilizatomy hart hart. lipat ka rin dito sa UPLB baka sakaling malinawan ka sa mga fallacy na di mo pa alam.
iamjaysooon,"Maraming nagalit sa UPLB student na nambastos daw kuno kay Duterte. Hmmm, bakit hindi kayo nagalit nung si Duterte ang bastos sa mga babae?"
JIREHsic_World,Wag po sanang lahatin ang UPLB students.
kainoax,"ano ba yang du30 issue lately, uplb. what's the tea"
unGelo_,Ano ba pangalan nung UPLB student na nambastos kay Mayor Duterte? Nang mabigyan ng unlimited bashing. #GMRC #Hambog #Arrogante #Hypocrite <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>
heraclairegi,Trending sa fb yung UPLB student na nagtanong ke Duterte. HAHAHAHAHhhaahahha parang nakahithit ata si koya <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
ESTELEphone,Ngnong apektado ra kaayo kos issue anang taga UPLB and duterte?! Hahahahaha dafuq
AdriianPaolo,"Generalizing the &gt;&lt;15000 UPLB students? 

plain dumb."
maryjoyaleroso,UPLB tripping. #YOLO 03.10.16 https://t.co/dRzaDgQBMb
mrkrdrgss,Let the UPLB student be. Jeez
EmmanHorseman,Ang totoong bastos na UPLB student ay ung student na hindi pa nakakakain sa Cadap's! IMMORAL
moivillanueva,UPLB po ulit! Mas mahabang Q&amp;A! G? Check na po natin ang sched ni Mayor! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> https://t.co/8hRqkX1orN
sandrasamala,"To the rude UPLB student: Even if you hate Duterte, you have no right to disrespect him. Ikaw na tumakbo, magaling ka eh alam mo ata lahat."
ilenamrq,bida bida yung uplb student hooooow annoying
loullipap,"Itong mga bashers ng UPLB student na yun, sila yung may mentality na ""pag nanalo si duterte, wala ng kriminal""

LOL WHUT LOGIC IZ DAT"
Tang_law,Duterte visited #UPLB. The most talked about Q&amp;A is in this video. https://t.co/zU8a3kA3mJﾅ via @youtube
CeidjzYui,"Your brain will get you far, but character will get you farther.

This is a shout out sa UPLB stude who arrogantly questioned Mayor Duterte."
AcoboShirley,"Aanhin ang katalinohan kung arogante,Bastos at mayabang...
Mas gusto ko pa si CarotMan hyskul lang alam pero Wagas kung gumalang...
#UPLB"
vinzdelosreyes,Wtf! Nababadtrip ako sa mga taong nagagalit sa estudyante ng UPLB. Punyeta! Ano mayabang dun mas mayabang pa yung iniidolo nyong presidente!
akosinickonicko,"@clintzoned @haidilizatomy dre alam naituro na sa UPLB ang FALLACY? Illogical comparison? Kung hindi pa, lipat na sa Diliman"
exocpark27,@mayingyiing @4Duterte I tried since yesterday. Sobrang dameng bastos lang talgang mga tao. <ed><U+00A0><U+00BD><ed><U+00B8><U+00AA> mas bastos pa sa tanong nung UPLB student.
SerJavines,Dutertard kung Dutertard ako. Not even offended. Lol. Gusto ko nalang malaman kung kailan makaka-move on ang lahat sa UPLB student na yan
rosellejimeno,Feeling sorry for the UPLB stud who is now a victim of cyber bullying. Learned a lesson too soon. Little knowledge if flaunted is dangerous.
daREALdelacruz,@LIMvasion may UPLB student na inaatake sa Duterte page because of the way he countered Duterte
carpiogio,She's Dating the Bastos na UPLB Student ***Dati*** https://t.co/Do6eyQNTYs
jayvee16_98,Bastos na UPLB student para sa bastos na presidentiable.... Ano problema dun?
legallytanned,I see my timeline coming to the defense of the UPLB student. Is this what our lives will be if Duterte wins?
Ronald_Legend,Arogante tong UPLB student
jae103015,yung kuya na pabibo masyado sikat ka na po. taga uplb pa naman &gt;.&gt;
pinoytvshows317,Presidential candidate Rodrigo Duterte was disrespected by a student from UPLB! Mustﾠwatch! https://t.co/EczJHfS1UX https://t.co/W2bVuAU0oV
AsiongLhie,https://t.co/VGecftlnKZ may tukmol na isa pala sa #UPLB
kalyepinoy,Presidential candidate Rodrigo Duterte was disrespected by a student from UPLB! Mustﾠwatch! https://t.co/IKa3GZAfTD https://t.co/6ubGc3ioQU
RonJacob_02,"yung studyante ng UPLB may point naman sya, tama ginawa nya , kinikilatis nya talaga yung kumakandidato."
makoaaron,@4Duterte yeah. But we can't omit the fact that he's representing the UPLB itself. Such a shame
clintzoned,"@akosinickonicko @haidilizatomy pre, anong nagpabobo sa argument na 'to? in the first place, getd mo ba? Dont you dare belittling UPLB again"
lanselbiscuit,<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099> UPLB https://t.co/aarEJTatfp
4Duterte,"@raffyrap09 Duterte in a follow up interview with the press regarding UPLB student Stephen Villena 'questn was silly, ayaw ko lang hiyain'."
missjover,UPLB students are never silly! Mga batang mulat yan at di madadala sa mga salita lang @uplbperspective  https://t.co/iiQJGkRlsn
unSauLicited,Where can I find a video of that supposed rude UPLB student? Huli lang ako sa balita.
migueltioki,Sakit sa ulo ng mga nagcocomment on the uplb thingie. Ugh
MharlooBlast,@simicmic katong sa UPLB...
tonyocruz,Macho presidentiable Duterte should be able to handle tough questions. And he should expect tough questions from UPLB students.
_genebro,"sikat na naman ng uplb, kundi patayan o rape, bastos na estudyante naman

my god, media  :((( ang dami pong magagandang bagay sa uplb!!!!!!!"
realbryanosorio,"Para sa estudyanteng 'to ng UPLB, nakakahiya ka brad. Matalinong naturingan pero di nag-iisip at wala pang... https://t.co/A3xSNJywl9"
gherllyptn,Naturingang iskolar ng bayan eh. I have co-scholars from UPLB pero hindi ganun ka-bastos mag-salita about Duterte <ed><U+00A0><U+00BD><ed><U+00B8><U+00A0>
asshulz,wala kasing internet dito sa bundok kaya bastos kaming mga uplb students
jfelizsumangil,Nsa uplb pala si duterte nung fri? Didn't know that
ohannaaamarie,UPLB is not the issue so instead of making UPLB trend why not try Stephen Villena to focus on the main issue?
4Duterte,Something to refresh us all from d UPLB issue. <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/zoBcFns8P5
drawde_yaj,"Jusko, what's happening to UPLB students nowadays?! D kmi gnyn nung 2002-2006! Char! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #DuterteVisitsUPLB"
viaclarice,"I think mayor was tryin to build a scenario before going to the argument itself, but this student of UPLB kept on pounding the question."
daREALdelacruz,Now Dutertards are attacking that UPLB student. Saying na isko daw ba talaga sya dahil nauutal sa pagtatanong.
JasonObrero,"@TheTweetsOfRjel Well, that was out of UPLB control already."
raffyrap09,Hey UPLB kid! Good thing Duterte was mature enough to put up with arrogant student like you. so disrespectful.
aliyahaliyah08,"So cool ka na kasi ""Nabara ko na si Duterte!"" ? Is that really a UPLB student?"
itstrishaanne,"yung famewhores sa facebook na kunwari galit rin kay kuya from UPLB, HA! See where the media takes you? Bandwagon pa more <ed><U+00A0><U+00BD><ed><U+00B1><U+008E> prayin for you <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>"
chikoi,"masyadong nagmamagaling wala naman sense yung tanon #stephenvillena 
#uplb
#du30"
1nutty_hazel,"Rabid Duterte supporters calling a UPLB student arrogant.

Pot, meet kettle."
MedyoBreezy,yan kasi ngyayari pag may crowd impact lumalaki ulo nag mamagaling nadayun tsk wag kasi padala sa gigil UPLB panaman naturingan.
Robin_Benitez,"Ako lang yata ang nagruroot sa UPLB student na ""nambastos"" sa kanya. He really needs to hear na nagmumukha na siyang tanga."
kurarisa22,"""Bastos na bata""
""Bastos din c Duterte""
""Nakatatanda parin c Duterte""
""Bakit nung ke Binay natuwa kyo?""
""Deserve yun n Binay""

Oh kaaay
UPLB"
yowBela,"Hindi talaga lahat ng nag aaral sa UPLB, matatalino. ""Compensate""? Kuya, are you for real?"
casdfghjkLouis,Putang INA niyo pilipinas! Gago kayo may binabayaran kaming tuitions n sa uplb Maya wag niyong sasabihin na saying any tax niyo...gago
zkmaralit,"BUT u don't have the fucking right to besmirch UPLB, DONT GENERALIZE AND EXAGGERATE STUFF."
tinehavana,That UPLB student <ed><U+00A0><U+00BD><ed><U+00B8><U+008F><ed><U+00A0><U+00BD><ed><U+00B4><U+00AB>
shaanxvi,Awow where did you get that information girl?<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> that UPLB student brought rudeness to a whole new level<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/4ZYvyvJfg7
ablazagirl,"Yeah the uplb student was rude

But when your pres candidate was rude to women and disregarded human rights u thought he was charming smh"
kennections,"Due process gets disrespected by Duterte: DAPAT LANG!
DU30 kisses women: POGI!
UPLB student 'disrespects' DU30 : TANGINA MAMATAY KA NA!
WTF."
viaclarice,"With regards to the UPLB issue, they say that we have two ears and one mouth so that we can listen twice as much as we speak."
DavionRocks,Naturingan pa namang skolar ng bayan tong studyante sa UPLB. Tsk
moivillanueva,"Oh, UPLB students! Ano na? Anong tanong niyo dapat kay Duterte? Let's show Duterte some love! #IShouldHaveAskedDuterte"
yokorallon,Unsa d.i gpngutana sa UPLB student ky Daddy ?  <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
PogiPhilosopher,"150 pesos lang ang nagagastos nyo para sa lahat ng UPLB students. Mas mura pa sa Venti latte ng Starbs, bro."
happylad831,@MoxieLi @faitth14 @fremsite sino ba my sabi taga uplb ako?naks...
jaymeneutron,"Hindi ako sobrang pro-Duterte pero grabe naman si kuya uplb na ""nagtanong"". Ayaw mo talaga ng sagot, parang gusto mo lang magpasikat zzz."
beanbiin,Puro ka dada wala ka namang nagawa. Studyante ka lang din. UPLB https://t.co/iegpYaWIvD
PandaaaFriend,@PandaaaFriend #UPLB
cgpanao,A little respect to Mayor Duterte Totoy Stephen Villena. You are a student and Mayor is your UPLB guest #PHVoteDuterte #DuterteVisitsUPLB
lanselbiscuit,<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> HAPPY 18TH YAAY HAHAHAHA BESTTT NIGHT EVER WITH UPLB AND DARWIN PPL <ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><U+263A><U+FE0F><U+263A><U+FE0F> https://t.co/oWzEAGfRuo
PandaaaFriend,@PandaaaFriend #UPLB
elizabethcayari,Ang rude nung student ng UPLB. Goes to show na hindi lahat ng educated ay may manners. <U+270C><U+270C><U+270C>
PogiPhilosopher,"Merong 14,160 students sa UPLB nung nakapasok ako dito, kung imumultiply natin yung less than one cent na nangaling sa tax nyo..."
Jaysterdee,"Again.. social media. I mean people on social media there is duterte and uplb man, sometimes sa caption pa lang... https://t.co/FjJkV6dtVh"
superpaoyeah,"Kahit may doubts ako kay Duterte, bastos pa rin talaga yung taga UPLB, nagskip ata ng GMRC nung highschool. Tsktsk smh"
elainederamos,@ronimar_pasic uplb studentS. STUDENT WITH AN S. Means in general. Means it's plural.  https://t.co/k5n9tbRjBu
ShinjiOlaivar,"uplb vs duterte: not everyone who uses ""po/opo"" in his/her sentences is respectful. some are just pure shit fukked dikk headed cunts."
pinoynewsonline,I added a video to a @YouTube playlist https://t.co/EPymuBTJuX UP Los Ba�os Students to Duterte. Is UPLB is really Bias?
ARAYlang,Tengeneng student from UPLB na nagtanong kay duterte. Legit na bastos amputa.
MoxieLi,@happylad831 @faitth14 @fremsite i doubt if you're from UPLB. Limited grammar and all. One who thinks weh is snarky.
aliyahaliyah08,ang bastos ng UPLB student...
maraasaysboo,"Keywords from the comments on Duterte vs. UPLB student: GMRC, aktibista, bobo, sayang taxes. People never fail to amaze me <ed><U+00A0><U+00BD><ed><U+00B9><U+0083>"
MsSilverlake,"At dahil dun sa UPLB student, magkakaroon nanaman ng stereotype na aktibista lang daw mga nasa UP (???)"
elainederamos,@rapplerdotcom DON'T SAY UPLB. IT'S ONLY STEPHEN NOT THE WHOLE UP COMMUNITY https://t.co/k5n9tbRjBu
ronimar_pasic,@elainederamos @akosinickonicko @rapplerdotcom may sinabi bang All UPLB students w/ s para lahat?!
happylad831,@MoxieLi @faitth14 @fremsite weh?Parang uplb student lng?para sabihan ng magaling..<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>.. matalino ka naman dba? Dmo gets?
DamaDamn,"Respect is a two-way street, if you want to get it, you've got to give it. 

#UPLB"
CyberChangge,"Like what #PHVoteDuterte <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> said, the rude UPLB student was TRYING to be a SMART ALECK.Ouch! https://t.co/RTXt8I9efX https://t.co/DgvUCGaglu"
qwerancelty,bat ganon yung uplb stud na yun? haynakow
iambeloy13,Puro kyo talino mga hambog!pakilam ko sa talino nyo!DUTERTE pdn ako.. #UPLB
ronimar_pasic,@elainederamos @akosinickonicko @rapplerdotcom kaya nga UPLB student kasi isa lang! Diba? Bato-Bato sa langit ang tamaan Damay!.. relax
walidrascal,"Iba yong nagtatanong na naghahanap ng tamang sagot kaysa sa nagtatanong na gusto lang matawag n matalino, so anu? 
#DuterteVisitsUPLB #UPLB"
elainederamos,"@akosinickonicko @ronimar_pasic @rapplerdotcom see? UPLB in general, as a whole. Not only stephen. You relax. Thanks @akosinickonicko"
carlothewacko,"When Binay was heckled in UPLB, Dutertards rejoiced. When Duterte was asked a legitimate question, Dutertards cried foul. #doublestandards"
crcmarquezmd,These were the real crowd during the visit of #Duterte in UPLB. Of course media blackout na naman. https://t.co/px4885Q5Lc
ynwa_jul,"UPLB student, you go gurl. At least someone has the guts to actually call out Duterte on his inconsistent and indirect answers."
itsDisaJ,Whats with UPLB?
itsme_Axel,the views and opinions of that totoy do not reflect the show the network or the school ganern UPLB
twacinnamon,Egh. Why so rude? That UPLB student should be given a roundabout with his attitude. No one deserves to be cut short like this
JoseMariRobledo,i dont think UPLB students can do that to MIRIAM
iamsusettttte,Viral si koya sa UPLB. Hey hey
yaanmartin,(1/3) Remind me again why (some of) DUTERTE'S supporters are crying foul over the UPLB student's demeanor...
ronimar_pasic,"DUTERTE the next President!
Kaya dun sa UPLB student na nambastos kay Mayor! Ambot na lang sa imoha!.... papunta ka palang pauwi na si Mayor"
akosinickonicko,@ronimar_pasic @elainederamos But @rapplerdotcom Said its the whole UPLB hahahah https://t.co/CLz27Mg9L1
akosinickonicko,@Tang_law  @rapplerdotcom said its the whole UPLB. hahahah https://t.co/jHbOVmzBKC
aaronarghh,"conclusion: di lahat ng uplb students ay matalino; rude and ill-mannered sila
sample size: 1

ibalik sa stat1 ang mga to pls"
RossIlagan,nasaan na nga ba ang freedom of speech kung patuloy ibabash ang estudyante ng uplb? bawal na bang magbitaw ng saloobin ngayon? <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>
PogiPhilosopher,"According to my Econ professor approximately 200,000 pesos are allotted to each UPLB student."
wildgun69,"UPLB student Villena, wag mong sirain ang imahe ng UP, di  nababagay ang ugaling hayop mo sa Unibesidad na yan."
heeysaji,What's new? UPLB gets it again. Sighs.
ItsMeCeeent,UPLB vs Duterte. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
akosinickonicko,@haidilizatomy  whuts with UPLB na ganito mga estudyante? Hahaha. Ang mga argumento pambobo. Lipat kaya kayo sa Diliman?
Jonas_Lugtu,Kumusta si Duterte sa UPLB ?
BexSnoww,"Ayon, nagshare ng kabobohan yung kakilala ko regarding UPLB students. Unfriend naba this?"
walidrascal,"#Respect for ourselves guides our #morals, respect for others guides our #manners. UPLB #UPLB #DuterteVisitsUPLB #Duterte2016 #DU30"
BaaaaaaaadChita,Watching Duterte full speech at UPLB!! #DU30 FOREVER MY PRESIDENT<ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>
happieeey,"Minsan sa sobrang bilib mo sa sarili mo, hindi kana mukhang matalino. Lumalabas kang arogante, walang modo at bastos hello UPLB Student"
polarizabilityy,With the cows of UPLB <ed><U+00A0><U+00BD><ed><U+00B0><U+00AE><ed><U+00A0><U+00BD><ed><U+00B0><U+0084> https://t.co/8YmR123EPy
mikaaydee,Nairita ako konti dun sa UPLB student ah
socutiejake,"Naturingan taga UPLB eh .. tsk tsk tsk 

PS: No Offense sa ibang taga UPLB :D https://t.co/DQ9vu2FMJh"
4Duterte,"@makoaaron his name is Stephen Villena btw. He shud b d one trending, not UPLB. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>"
prolameiii,"okay, shame on that agorant UPLB student"
JobaandYou,Freshmen Rep ng Student Council pala ng UPLB ang nagtanong kay Duterte. Tsk. Tsk. He was totally carried away.
spyr80,di lahat ng UPLB gaya ni Stephen Villena.. kala mo kung sinong matalino nagmukha namang bobo..
clintzoned,@UPCarillon anong masasabi mo sa mga nangbabash sa uplb?
lenyquezada,Biglang sikat si Kuyang taga-UPLB e.
homeralesex,"NKKLK, I wasnt expecting na kaibigan ko pala sa Facebook yung isa mga tumanong at the same time nambastos kay Mayor Duterte when in UPLB."
JasonObrero,"(1/2) From what I remember, bawal magbigay ng election paraphernalia sa mga academic institutions.
UPLB is one of those institutions."
Tang_law,"It's not proper to judge the whole #UPLB community kaya lang ika nga ""Ang sakit ng kalingkingan, dama ng buong katawan."""
cgpanao,Nagtrending ang UPLB dahil sau Stephen Villena isang Totoy sa Politika. Tumakbo ka munang tanod. Asta mo prang maraming alam #PHVoteDuterte
